song_id,name,artist_name,tags,genre,duration_ms,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
TROTLJX128F92FECBB,My Hero,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,259800,0.367,0.919,-4.218,1,0.0574,4.23e-05,0.000489,0.0603,0.301,153.954
TRQBGQI128F4267F9B,All Along the Watchtower,Jimi Hendrix,"rock, classic_rock, blues, psychedelic, 60s, psychedelic_rock, guitar, cover",,239666,0.433,0.787,-6.747,1,0.0581,0.00287,2.97e-05,0.0883,0.562,113.363
TRBNYBX128F422EC61,Hey There Delilah,Plain White T's,"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow",Rock,247060,0.451,0.261,-12.467,1,0.029,0.981,3.21e-06,0.659,0.372,100.46
TRAAXZC128F9360095,When the Sun Goes Down,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,202013,0.35,0.868,-4.903,0,0.171,0.0357,0.0,0.13,0.415,169.631
TRLGOOE128F42530B0,Like a Rolling Stone,Bob Dylan,"rock, classic_rock, folk, singer_songwriter, acoustic, 60s, oldies",,367853,0.486,0.717,-6.149,1,0.0324,0.747,0.0,0.231,0.531,95.52
TRKVHUM128F4241E3E,The House of the Rising Sun,The Animals,"rock, classic_rock, british, 60s, oldies, blues_rock",,268800,0.298,0.563,-7.163,0,0.032,9.67e-05,0.0254,0.143,0.29,117.505
TRBBVGN128F931CBE4,Come Together,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies",Jazz,206091,0.515,0.747,-4.369,0,0.0434,0.0321,5.37e-05,0.313,0.365,178.134
TRSJJWD128F930EAD7,What I've Done,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",Rock,205613,0.623,0.93,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119
TRDMUWU128E078EDDB,Dumb,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,149706,0.682,0.405,-11.86,1,0.028,0.151,0.387,0.27,0.846,113.719
TRGTHCA128E0782187,Airbag,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",,284400,0.14,0.89,-6.948,1,0.0638,0.00737,0.812,0.278,0.627,167.781
